isbn,original_title,author,original_publication_year,num_pages,genres,image_url,avg_rating,similar_books
399157387,Buried Prey,John Sandford,2011,390,"mystery, thriller, crime, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.2,
440228441,I Know What You Did Last Summer,Lois Duncan,1973,208,"young-adult, mystery, thriller, crime, fiction, children, romance",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.5,
439943469,A Darkling Plain,Philip Reeve,2006,544,"fiction, fantasy, paranormal, young-adult, children, romance, mystery, thriller, crime",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.3,
60828374,Let the Northern Lights Erase Your Name,Vendela Vida,2007,226,"fiction, mystery, thriller, crime",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.6,
786939834,Exile,R.A. Salvatore,1990,343,"fantasy, paranormal, fiction, young-adult",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.2,
1587672286,Blockade Billy,Stephen King,2010,112,"fiction, mystery, thriller, crime, fantasy, paranormal, history, historical fiction, biography",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.4,
671551337,Secret Vampire,L.J. Smith,1996,242,"young-adult, fantasy, paranormal, romance, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.7,
61059919,The Fury,L.J. Smith,1991,285,"young-adult, fantasy, paranormal, romance, fiction, mystery, thriller, crime",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.6,
097624988X,The Haunted Vagina,Carlton Mellick III,2006,100,"fiction, fantasy, paranormal, romance, mystery, thriller, crime, poetry",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.6,
385517831,The Associate,John Grisham,2009,373,"fiction, mystery, thriller, crime",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.6,
439272009,Witness,Karen Hesse,2000,161,"fiction, history, historical fiction, biography, poetry, young-adult, children, mystery, thriller, crime",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.7,
316156507,The Night Gardener,George P. Pelecanos,2006,372,"mystery, thriller, crime, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.6,
